顾客编号,一月消费天数,一月消费额,二月消费天数,二月消费额,三月消费天数,三月消费额,四月消费天数,四月消费额
0,4,11.05,0,0,0,0,1,13.6
1,4,12.3,3,30.3,0,0,0,0
2,12,48.7,10,30,0,0,0,0
3,9,67.39,17,360.97,16,68.87,10,49.28
4,4,27.9,0,0,0,0,14,154.94
5,7,57.6,0,0,4,33.5,4,48.34
6,3,23.99,8,65.67,1,11.5,9,49.14
7,6,138.37,0,0,8,61.49,11,52.07
8,12,190.49,0,0,11,111.85,5,74.72
9,9,80.4,0,0,0,0,0,0
10,16,220.63,0,0,11,117.03,0,0
11,9,50.3,0,0,0,0,0,0
12,77,677.89,30,531.95,47,391.52,25,236.83
13,16,158.3,1,9.7,18,160.72,33,314.14
14,16,298.22,0,0,0,0,0,0
15,17,313.88,0,0,0,0,0,0
16,11,139.99,8,246.1,0,0,0,0
17,48,240.77,28,258.85,9,45.02,11,52.8
18,4,32.44,0,0,0,0,0,0
19,19,223.06,0,0,0,0,6,42.9
20,22,117.78,20,122.24,4,24.21,13,131.36
21,15,74.66,3,111.1,15,47.76,5,13.88
22,7,93.79,0,0,0,0,0,0
23,2,16.2,0,0,0,0,0,0
24,41,178.13,30,144.58,66,353.82,22,177.28
25,2,38.51,0,0,0,0,0,0
26,18,184.39,3,59.7,0,0,0,0
27,7,81.59,0,0,0,0,0,0
28,2,13.9,0,0,0,0,0,0
29,3,20.5,0,0,0,0,0,0
30,3,53.02,0,0,0,0,0,0
31,36,173.08,11,59.5,45,176.26,22,195.03
32,52,415.04,44,382.52,32,175.76,34,203.84
33,9,219.7,0,0,0,0,0,0
34,30,217.61,37,190.1,33,308.7,29,242.2
35,12,80.92,0,0,0,0,0,0
36,4,42.72,0,0,0,0,9,144.1
37,19,102.76,30,283.9,0,0,4,21.6
38,22,234.45,13,145.35,0,0,14,95.02
39,29,155.8,10,45.36,32,230.09,12,69.18
40,6,32.65,14,303.85,0,0,0,0
41,9,38.43,1,40.13,0,0,0,0
42,4,27.65,0,0,0,0,12,96.81
43,5,55.8,7,48.83,0,0,5,113.2
44,27,100.7,7,59.88,8,29.82,0,0
